Unnamed: 0;QE;QF;QM;Qm;QS;EF;EM;Em;ES;FM;Fm;FS;Mm;MS;mS;Q;E;F;M;S;m
CC1-5;0.0007955449482895784;0.0005310674455655868;0.0005614823133071309;0.0008071025020177562;0.0006626905235255136;0.0004880429477794046;0.0005561735261401557;0.0009372071227741331;0.0007668711656441718;0.0035335689045936395;0.0010504201680672268;0.0013054830287206266;0.001445086705202312;0.002008032128514056;0.003745318352059925;0.33578877327055656;0.3543839710627444;0.6908582494726484;0.8104343577757294;0.8488395198464292;0.7985134850121354
CC1-7;0.0010438413361169101;0.0006997900629811056;0.0005373455131649651;0.000819672131147541;0.0006293266205160479;0.0008123476848090983;0.000580046403712297;0.0009149130832570906;0.000819672131147541;0.002012072434607646;0.004;0.0035211267605633804;0.0013605442176870747;0.0017211703958691911;0.002583979328165375;0.372997566392657;0.4170820639042937;1.104533694296123;0.6211178965041174;0.9275275236261535;0.9679108760257081
CC1-1;0.0019230769230769232;0.0007692307692307692;0.0007178750897343862;0.0010438413361169101;0.0008620689655172414;0.0009041591320072332;0.0007535795026375283;0.0013908205841446453;0.001277139208173691;0.00273224043715847;0.0026041666666666665;0.002044989775051125;0.0015552099533437014;0.001184834123222749;0.0030959752321981426;0.531609308367623;0.6248775350040021;0.9054786780114263;0.6943739106096836;0.8465007304162948;0.9690013772470064
CC1-2;0.00047080979284369113;0.0015822784810126582;0.0010277492291880781;0.0016750418760469012;0.000693000693000693;0.0005633802816901409;0.0005617977528089888;0.0006150061500615006;0.0009174311926605505;0.002127659574468085;0.0047169811320754715;0.001145475372279496;0.0014903129657228018;0.0009765625;0.001177856301531213;0.5448880072092022;0.3128425170064872;1.0135774841525853;0.6184082022187953;0.4910326059471952;0.9675198425437888
CC1-3;0.0006150061500615006;0.0005955926146515784;0.0005310674455655868;0.0008032128514056225;0.0005757052389176742;0.00046490004649000463;0.00044943820224719103;0.0006238303181534623;0.0006269592476489029;0.004545454545454545;0.0017985611510791368;0.0013812154696132596;0.00145985401459854;0.0014771048744460858;0.0017825311942959;0.3120584300601963;0.2780133964601062;0.8785723827288525;0.8462919082311948;0.5843516024921822;0.6467989529532662
CC1-8;0.0009643201542912247;0.0007457121551081282;0.0006868131868131869;0.0008326394671107411;0.0005656108597285068;0.0006784260515603799;0.0006765899864682003;0.0006618133686300463;0.0005777007510109763;0.005434782608695652;0.00392156862745098;0.0024449877750611247;0.002398081534772182;0.0033222591362126247;0.0016207455429497568;0.3795095823051788;0.3558850311960827;1.3225477217876265;1.2518526452961847;0.8531304064962988;0.9434848540913707
CC2-2;0.0006476683937823834;0.0006544502617801048;0.0006203473945409429;0.0008210180623973727;0.0005446623093681918;0.0005425935973955507;0.00045641259698767686;0.0007674597083653108;0.0005980861244019139;0.002369668246445498;0.0018315018315018315;0.0017985611510791368;0.0011013215859030838;0.0010718113612004287;0.0015432098765432098;0.32881464218689954;0.30122204209328357;0.7196775088202122;0.561956118507763;0.5556330822592881;0.6064511064710809
CC2-3;0.0006345177664974619;0.0006157635467980296;0.000655307994757536;0.0006199628022318661;0.0005390835579514825;0.00076103500761035;0.0006993006993006993;0.0008952551477170994;0.0008658008658008658;0.005076142131979695;0.004830917874396135;0.002680965147453083;0.002631578947368421;0.0017331022530329288;0.00390625;0.3064635668236376;0.3855909486926476;1.3964823708237293;1.079543202643928;0.9725201824238361;1.288396477171352
CC2-4;0.0005446623093681918;0.000625;0.000697350069735007;0.0006561679790026247;0.000546448087431694;0.0006993006993006993;0.0006626905235255136;0.0009267840593141798;0.0009000900090009;0.004524886877828055;0.0029239766081871343;0.002136752136752137;0.002188183807439825;0.0021551724137931034;0.0031746031746031746;0.3069628445537517;0.3733527600509485;1.0909916322068023;1.0228283692321503;0.891306582158101;0.9869715628546938
CC2-5;0.0006578947368421052;0.0008032128514056225;0.0007575757575757576;0.0010362694300518134;0.0005824111822947001;0.0006544502617801048;0.0006071645415907711;0.0008058017727639;0.0007513148009015778;0.008264462809917356;0.0029069767441860465;0.0015082956259426848;0.0021598272138228943;0.001455604075691412;0.0013020833333333333;0.3837363958169999;0.347662611387846;1.4137398293231815;1.3244634398598192;0.5599709018163707;0.8210958494157988
CC2-6;0.0008576329331046312;0.0011074197120708748;0.000724112961622013;0.0008873114463176575;0.0005934718100890207;0.0011074197120708748;0.0008347245409015025;0.0022988505747126436;0.001177856301531213;0.004016064257028112;0.0021231422505307855;0.0014727540500736377;0.00129366106080207;0.0012330456226880395;0.001736111111111111;0.4169948863204197;0.6276484062320865;0.9826799981774283;0.8101608443041737;0.6213238895493022;0.8339076443474268
CC2-8;0.0008169934640522876;0.0007479431563201197;0.0007037297677691766;0.0008051529790660225;0.0007117437722419929;0.0006246096189881324;0.0005970149253731343;0.0006816632583503749;0.000723589001447178;0.0125;0.007692307692307693;0.0029239766081871343;0.004807692307692308;0.002770083102493075;0.0035971223021582736;0.3785563139449599;0.3443870268211107;2.448883707580308;2.1378520103327694;1.0726514786527652;1.758393853957467
CC3-1;0.0005636978579481398;0.0006872852233676976;0.0008298755186721991;0.0007309941520467836;0.0005431830526887561;0.0007639419404125286;0.0007057163020465773;0.0009372071227741331;0.0008347245409015025;0.003289473684210526;0.004081632653061225;0.002070393374741201;0.0024813895781637717;0.00130718954248366;0.002109704641350211;0.3355035804723577;0.3805287764082882;1.089272687579318;0.8613644625576735;0.686519515216533;1.0340928147396125
CC3-7;0.0005861664712778429;0.0007911392405063291;0.0007861635220125787;0.0008396305625524769;0.0005104645227156713;0.0008333333333333334;0.000731528895391368;0.0010214504596527069;0.0008628127696289905;0.0058823529411764705;0.004329004329004329;0.0012690355329949238;0.0025252525252525255;0.001215066828675577;0.001287001287001287;0.3513564319064899;0.40352919292842415;1.3104865377015387;1.114036471250852;0.5144380941016449;1.0002339163463325
CC3-8;0.0007072135785007072;0.0008210180623973727;0.0008833922261484099;0.0008936550491510277;0.0006329113924050633;0.0005367686527106817;0.0005078720162519045;0.0006093845216331506;0.0005285412262156448;0.004366812227074236;0.004484304932735426;0.0022123893805309734;0.0024449877750611247;0.0014771048744460858;0.002207505518763797;0.3938190308602581;0.2889779995312089;1.242129325544869;0.9680169118981761;0.7058452392361564;1.0639837797344527
