Q&E&F&M&S&MSH
0,335788773270557&0,354383971062744&0,690858249472648&0,810434357775729&0,848839519846429&0,798513485012135
0,372997566392657&0,417082063904294&1,10453369429612&0,621117896504117&0,927527523626154&0,967910876025708
0,531609308367623&0,624877535004002&0,905478678011426&0,694373910609684&0,846500730416295&0,969001377247006
0,544888007209202&0,312842517006487&1,01357748415259&0,618408202218795&0,491032605947195&0,967519842543789
0,312058430060196&0,278013396460106&0,878572382728853&0,846291908231195&0,584351602492182&0,646798952953266
0,379509582305179&0,355885031196083&1,32254772178763&1,25185264529618&0,853130406496299&0,943484854091371
0,3288146421869&0,301222042093284&0,719677508820212&0,561956118507763&0,555633082259288&0,606451106471081
0,306463566823638&0,385590948692648&1,39648237082373&1,07954320264393&0,972520182423836&1,28839647717135
0,306962844553752&0,373352760050948&1,0909916322068&1,02282836923215&0,891306582158101&0,986971562854694
0,383736395817&0,347662611387846&1,41373982932318&1,32446343985982&0,559970901816371&0,821095849415799
0,41699488632042&0,627648406232087&0,982679998177428&0,810160844304174&0,621323889549302&0,833907644347427
0,37855631394496&0,344387026821111&2,44888370758031&2,13785201033277&1,07265147865277&1,75839385395747
0,335503580472358&0,380528776408288&1,08927268757932&0,861364462557673&0,686519515216533&1,03409281473961
0,35135643190649&0,403529192928424&1,31048653770154&1,11403647125085&0,514438094101645&1,00023391634633
0,393819030860258&0,288977999531209&1,24212932554487&0,968016911898176&0,705845239236156&1,06398377973445
0,363132608589834&0,297135711425302&0,970240711104493&0,87907663487465&0,57015420944248&0,686413125858717
0,267932410604803&0,446133941162756&1,40150097409736&1,39791576378766&0,85505014028756&0,866246648486249
0,320060766923555&0,260748865389867&1,42607950949554&1,0274364077762&1,34926474609082&1,4764358882791
0,384963622591414&0,329463908763639&1,55598650184491&1,39800271627686&0,8120987921901&1,27428115170046
0,377176446746203&0,33550083179788&1,37733989087794&1,26961340127425&0,677149988000249&0,940243208686656
0,360683970206196&0,306488694026263&1,92382144806945&1,70423944368901&0,779904222695744&1,28045934107619
0,314652265813533&0,242348048709809&1,12603344462232&0,934594219985798&0,529781394948718&0,89120810788723
0,304055644635679&0,274859806813603&1,91270570218118&1,90997205951567&1,2912909301943&1,53253879943504
0,362116396459527&0,301770009861449&1,20516981680421&1,07235630969588&0,595995877840293&0,855372028103219
0,35133162125672&0,33533423586126&1,7031348852952&1,29975975648585&0,921624412785722&1,51189551053201
